detector,scenario,true_label,predicted,score,correct,latency_ms,repeat
UncertaintyOnly,noisy_features,1,1,0.9831500408028035,1,58.548688888549805,7
UncertaintyOnly,noisy_features,1,1,0.9871360894415646,1,57.718753814697266,8
UncertaintyOnly,noisy_features,1,1,0.9852039963083212,1,57.31463432312012,9
UncertaintyOnly,noisy_features,1,1,0.9892201197105558,1,58.565616607666016,10
UncertaintyOnly,noisy_features,1,1,0.9890841573729775,1,58.08854103088379,11
UncertaintyOnly,noisy_features,1,1,0.9892479480342351,1,59.32426452636719,12
UncertaintyOnly,noisy_features,1,1,0.9852806284249024,1,58.11929702758789,13
UncertaintyOnly,noisy_features,1,1,0.98916273487897,1,56.5798282623291,14
UncertaintyOnly,noisy_features,1,1,0.9871347896390407,1,56.35428428649902,15
UncertaintyOnly,noisy_features,1,1,0.9873336576166546,1,58.345794677734375,16
UncertaintyOnly,noisy_features,1,1,0.985235539437894,1,57.63697624206543,17
UncertaintyOnly,noisy_features,1,1,0.9873099321921591,1,59.22222137451172,18
UncertaintyOnly,noisy_features,1,1,0.9891501055500829,1,60.88447570800781,19
UncertaintyOnly,missing_data,1,1,0.47812852604693745,1,57.84320831298828,0
UncertaintyOnly,missing_data,1,1,0.47430360542297223,1,58.11762809753418,1
UncertaintyOnly,missing_data,1,1,0.4766234219450868,1,56.14328384399414,2
UncertaintyOnly,missing_data,1,1,0.47216900455353505,1,57.83271789550781,3
UncertaintyOnly,missing_data,1,1,0.4788216705838836,1,56.89430236816406,4
UncertaintyOnly,missing_data,1,1,0.4715432391178931,1,57.990074157714844,5
UncertaintyOnly,missing_data,1,1,0.4737452194965912,1,57.328224182128906,6
UncertaintyOnly,missing_data,1,1,0.47258297966843554,1,57.13772773742676,7
UncertaintyOnly,missing_data,1,1,0.46829029855419213,1,57.97886848449707,8
UncertaintyOnly,missing_data,1,1,0.4822937846628392,1,56.46347999572754,9
UncertaintyOnly,missing_data,1,1,0.46991249621352954,1,57.64603614807129,10
UncertaintyOnly,missing_data,1,1,0.4723608423245862,1,57.11531639099121,11
UncertaintyOnly,missing_data,1,1,0.4764807097396599,1,58.4864616394043,12
UncertaintyOnly,missing_data,1,1,0.4720027197438626,1,57.20376968383789,13
UncertaintyOnly,missing_data,1,1,0.4740081382940491,1,57.2662353515625,14
UncertaintyOnly,missing_data,1,1,0.47284159430822614,1,56.99920654296875,15
UncertaintyOnly,missing_data,1,1,0.476053789635953,1,57.29198455810547,16
UncertaintyOnly,missing_data,1,1,0.4744588559936209,1,60.526371002197266,17
UncertaintyOnly,missing_data,1,1,0.46997923410067743,1,58.69245529174805,18
UncertaintyOnly,missing_data,1,1,0.47655465665267127,1,65.89484214782715,19
UncertaintyOnly,ood_samples,1,1,0.5438979671177953,1,54.445743560791016,0
UncertaintyOnly,ood_samples,1,1,0.5443739314588322,1,56.76126480102539,1
UncertaintyOnly,ood_samples,1,1,0.5488706753295511,1,59.72003936767578,2
UncertaintyOnly,ood_samples,1,1,0.5446688346578396,1,60.29558181762695,3
UncertaintyOnly,ood_samples,1,1,0.5456126516373896,1,59.13710594177246,4
UncertaintyOnly,ood_samples,1,1,0.5466830671525991,1,58.5935115814209,5
UncertaintyOnly,ood_samples,1,1,0.5414187994782084,1,57.80792236328125,6
UncertaintyOnly,ood_samples,1,1,0.5468433456068976,1,58.9597225189209,7
UncertaintyOnly,ood_samples,1,1,0.5445759355821871,1,69.23413276672363,8
UncertaintyOnly,ood_samples,1,1,0.546329554506999,1,57.05857276916504,9
